00:00:00, 7
00:00:01, 6
00:00:02, 5
00:00:03, 4
00:00:04, 3
00:00:05, 6
00:00:06, 4
00:00:07, 5
00:00:08, 6
00:00:09, 6
00:00:10, 9
00:00:11, 7
00:00:12, 10
00:00:13, 9
00:00:14, 5
00:00:15, 11
00:00:16, 14
00:00:17, 13
00:00:18, 9
00:00:19, 10
00:00:20, 15
00:00:21, 10
00:00:22, 5
00:00:23, 5
00:00:24, 9
00:00:25, 15
00:00:26, 12
00:00:27, 14
00:00:28, 14
00:00:29, 10
00:00:30, 8
00:00:31, 10
00:00:32, 14
00:00:33, 11
00:00:34, 14
00:00:35, 12
00:00:36, 11
00:00:37, 7
00:00:38, 4
00:00:39, 5
00:00:40, 13
00:00:41, 10
00:00:42, 7
00:00:43, 11
00:00:44, 15
00:00:45, 11
00:00:46, 11
00:00:47, 15
00:00:48, 11
00:00:49, 7
00:00:50, 13
00:00:51, 10
00:00:52, 6
00:00:53, 10
00:00:54, 9
00:00:55, 9
00:00:56, 9
00:00:57, 14
00:00:58, 14
00:00:59, 9
00:01:00, 5
00:01:01, 3
00:01:02, 10
00:01:03, 8
00:01:04, 5
00:01:05, 7
00:01:06, 4
00:01:07, 6
00:01:08, 4
00:01:09, 6
00:01:10, 8
00:01:11, 12
00:01:12, 9
00:01:13, 11
00:01:14, 14
00:01:15, 10
00:01:16, 10
00:01:17, 6
00:01:18, 10
00:01:19, 8
00:01:20, 14
00:01:21, 10
00:01:22, 13
00:01:23, 12
00:01:24, 14
00:01:25, 13
00:01:26, 12
00:01:27, 7
00:01:28, 7
00:01:29, 9
00:01:30, 11
00:01:31, 11
00:01:32, 14
00:01:33, 14
00:01:34, 10
00:01:35, 14
00:01:36, 14
00:01:37, 11
00:01:38, 8
00:01:39, 6
00:01:40, 8
00:01:41, 9
00:01:42, 8
00:01:43, 5
00:01:44, 4
00:01:45, 6
00:01:46, 6
00:01:47, 4
00:01:48, 7
00:01:49, 5
00:01:50, 7
00:01:51, 15
00:01:52, 12
00:01:53, 11
00:01:54, 10
00:01:55, 9
00:01:56, 10
00:01:57, 11
00:01:58, 11
00:01:59, 7
00:02:00, 3
00:02:01, 13
00:02:02, 10
00:02:03, 12
00:02:04, 15
00:02:05, 14
00:02:06, 10
00:02:07, 9
00:02:08, 7
00:02:09, 9
00:02:10, 10
00:02:11, 10
00:02:12, 10
00:02:13, 13
00:02:14, 11
00:02:15, 7
00:02:16, 11
00:02:17, 13
00:02:18, 9
00:02:19, 6
00:02:20, 9
00:02:21, 15
00:02:22, 14
00:02:23, 10
00:02:24, 9
00:02:25, 8
00:02:26, 7
00:02:27, 4
00:02:28, 14
00:02:29, 10
